x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
0.1482;0.56506;0.0046145;0.0025128;0.002466075;-0.100104;1.3295;-0.056564766;-4.44483E-06;0.002607469
0.4446;0.565015;0.00463645;0.002524;0.00248095;-0.1013365;1.3296;-0.057256643;5.20317E-06;0.002619664
0.741;0.56181;0.00470435;0.00252175;0.002512475;-0.09854;1.32325;-0.055360757;-5.32084E-06;0.002642951
1.037;0.56062;0.00472485;0.00252085;0.002530575;-0.0979235;1.32055;-0.054897873;-3.1267E-06;0.002648845
1.334;0.557255;0.0047412;0.00252035;0.002512325;-0.100289;1.31195;-0.055886547;1.7158E-06;0.002642057
1.63;0.557975;0.0047385;0.00251735;0.00251095;-0.101975;1.3113;-0.056899501;6.853E-07;0.002643965
1.927;0.55938;0.0047555;0.0025177;0.0025272;-0.1021825;1.31435;-0.057158847;1.91176E-06;0.002660132
2.223;0.55892;0.0048227;0.0025206;0.0025776;-0.1022055;1.31375;-0.057124698;-3.00225E-06;0.002695503
2.519;0.56044;0.0047596;0.0025207;0.002541225;-0.104806;1.31445;-0.058737475;-4.81538E-06;0.00266747
2.816;0.55873;0.00473515;0.00252175;0.00250755;-0.1055455;1.3101;-0.058971437;2.2527E-06;0.00264567
3.112;0.55991;0.0047397;0.0025202;0.0025156;-0.1093955;1.31105;-0.061251634;7.0165E-07;0.002653805
3.409;0.554195;0.00478305;0.0025196;0.002509175;-0.1084705;1.2958;-0.060113809;5.236E-07;0.002650742
3.705;0.55526;0.0047171;0.00252005;0.0024698;-0.106723;1.30155;-0.059259013;-4.34015E-06;0.002619217
4.002;0.553985;0.0047072;0.00252305;0.00246155;-0.1049745;1.30055;-0.058154298;3.53815E-06;0.002607718
4.298;0.559455;0.00470155;0.002524;0.002482325;-0.1070215;1.3106;-0.059873713;1.33165E-07;0.002630306
4.594;0.55938;0.00467165;0.00252165;0.0024564;-0.104549;1.3121;-0.05848262;9.56825E-06;0.002613228
4.891;0.558175;0.0046708;0.0025198;0.002447275;-0.104571;1.3097;-0.058368918;-1.23658E-05;0.002607124
5.187;0.557705;0.00467535;0.0025198;0.0024647;-0.1031;1.3092;-0.057499386;-1.40495E-06;0.002607466
5.484;0.56235;0.00470595;0.0025202;0.0025178;-0.101717;1.32275;-0.057200555;-1.05605E-06;0.002646391
5.78;0.55914;0.0047672;0.0025221;0.002541075;-0.1008245;1.3148;-0.056375011;-2.243E-08;0.002665532
6.076;0.562955;0.0047141;0.00251985;0.002539075;-0.1007995;1.32375;-0.056745583;2.2026E-06;0.002653826
6.373;0.56308;0.0047188;0.0025175;0.00253755;-0.0996575;1.32735;-0.056115145;-7.6115E-07;0.002657062
6.669;0.562745;0.0047093;0.0025179;0.002522425;-0.1009345;1.3233;-0.056800385;0.000000946;0.002650135
6.966;0.560035;0.00466965;0.0025182;0.00246815;-0.1033125;1.31635;-0.057858616;-5.50095E-07;0.002615167
7.262;0.561875;0.004651;0.0025164;0.00247755;-0.101207;1.322;-0.056865683;-5.85555E-06;0.002613281
7.558;0.559515;0.00468955;0.0025176;0.00249055;-0.1028385;1.31465;-0.057539683;5.47816E-06;0.002623874
7.855;0.55746;0.00469405;0.00252085;0.002475;-0.1051805;1.309;-0.058633922;5.996E-08;0.002616745
8.151;0.563015;0.0047023;0.00252035;0.0025133;-0.100135;1.32455;-0.056377507;4.9815E-07;0.002647465
8.448;0.56662;0.0047103;0.0025166;0.0025558;-0.0977185;1.33515;-0.055369256;-3.03485E-06;0.00266895
8.744;0.56099;0.00472845;0.00252275;0.002536125;-0.1041085;1.318;-0.058403827;1.13312E-06;0.002652613
9.04;0.561105;0.00470055;0.00252765;0.002507325;-0.1012995;1.31975;-0.056839656;-7.71365E-06;0.002637502
