# rho 2.5 3.0 4.0 4.0 6.0
0.70 0.58427 0.77021 0.96446 0.91430 1.07013
0.72 0.56126 0.72625 0.89922 NaN     1.0347
0.75 0.51120 0.69828 0.82531 NaN     0.9598
0.80 0.42119 0.60816 0.74825 0.73632 0.84713
0.85 0.31513 0.48012 0.63324 NaN     NaN
0.90 0.22813 0.38415 0.54216 0.48433 0.6388
0.95 0.18111 0.31412 0.44322 NaN     NaN
1.0  0.1067  0.2348  0.34811 0.31359 0.43815
1.05 NaN     0.15611 0.25823 NaN     NaN
1.1  NaN     0.11116 0.20012 NaN     0.26113
1.15 NaN     0.07410 0.10814 NaN     NaN
1.2  NaN     0.0546 0.06715 0.06319  0.1055
